food_category,weight,moisture,freshness,contamination_level,organic_percentage,recommended_method,compost_yield,biogas_yield,animal_feed_score,donation_score,nitrogen,phosphorus,potassium
Grains,13.83,22.15,18.49,9.17,97.88,Animal Feed,5.42,0.61,9.32,3.84,1.03,0.33,0.29
Meat,23.23,72.06,51.68,26.68,86.48,Biogas,8.04,3.35,25.01,8.67,4.05,1.44,0.51
Mixed,6.68,45.85,62.76,23.1,82.35,Compost,2.2,0.61,39.66,29.12,0.89,0.55,0.68
Grains,27.44,11.76,90.08,27.2,97.05,Compost,10.65,0.65,62.88,53.7,1.15,0.21,0.51
Fruits,19.39,72.28,46.07,28.66,87.12,Biogas,6.76,2.8,17.41,-2.04,0.99,0.28,0.76
Vegetables,45.22,75.72,4.43,6.63,91.91,Animal Feed,16.62,6.85,-2.2,-7.94,1.39,0.7,1.25
Grains,17.22,24.25,33.49,20.35,97.56,Compost,6.72,0.84,13.14,-0.51,1.1,0.25,0.52
Grains,22.44,27.11,36.18,29.83,95.25,Compost,8.55,1.22,6.36,-16.23,1.0,0.14,0.51
Vegetables,29.92,87.04,13.88,26.44,99.34,Biogas,11.89,5.21,-12.55,-36.21,1.62,0.62,1.14
Meat,38.12,66.31,13.69,21.75,90.07,Biogas,13.73,5.06,-8.06,-27.06,2.56,0.91,0.41
Vegetables,35.4,87.31,11.37,24.87,94.59,Biogas,13.4,6.18,-13.5,-36.09,1.42,0.42,1.43
Meat,10.13,67.98,15.76,7.09,91.69,Biogas,3.71,1.38,8.66,4.72,2.47,0.85,0.56
Vegetables,39.89,88.45,10.24,19.28,99.25,Biogas,15.84,7.06,-9.04,-26.27,1.29,0.6,1.31
Vegetables,32.0,90.85,92.29,6.23,91.71,Animal Feed,11.74,5.81,86.06,98.29,1.1,0.51,1.35
Grains,20.79,25.48,60.81,18.72,98.03,Compost,8.15,1.06,42.09,35.53,1.09,0.3,0.34
Grains,24.84,29.19,97.56,21.79,98.66,Compost,9.8,1.45,75.76,73.48,0.94,0.29,0.39
Mixed,15.89,73.38,82.72,24.99,92.85,Biogas,5.9,2.33,57.73,49.29,1.33,0.22,0.73
Fruits,40.37,61.96,24.64,15.22,86.87,Biogas,14.03,5.0,9.42,-0.88,1.89,0.4,1.06
Vegetables,34.89,78.4,59.88,28.83,92.61,Biogas,12.92,5.47,31.04,14.19,1.61,0.63,1.3
Vegetables,47.23,80.04,61.12,29.93,95.28,Biogas,18.0,7.56,31.19,13.48,1.63,0.51,0.99
Mixed,48.35,55.68,96.6,28.41,97.84,Compost,18.92,5.38,68.19,59.1,1.55,0.39,0.81
Grains,40.09,13.53,11.32,3.25,98.61,Animal Feed,15.81,1.08,8.06,7.07,0.85,0.26,0.41
Meat,7.94,61.69,46.43,11.93,88.57,Biogas,2.81,0.98,34.5,31.85,3.9,1.09,0.52
Fruits,17.21,51.67,32.79,21.06,93.38,Compost,6.43,1.78,11.73,-2.77,1.8,0.5,0.72
Vegetables,19.89,78.58,96.74,24.33,98.17,Biogas,7.81,3.13,72.41,67.42,1.49,0.55,1.31
Vegetables,35.95,83.39,92.61,23.97,90.16,Biogas,12.97,6.0,68.64,63.2,1.68,0.52,1.17
Mixed,40.52,40.46,50.01,26.67,85.18,Compost,13.81,3.28,23.34,6.67,1.21,0.25,0.93
Grains,14.58,28.33,66.28,29.85,96.94,Compost,5.66,0.83,36.43,19.84,1.02,0.2,0.4
Vegetables,45.09,70.1,29.49,4.01,93.64,Animal Feed,16.89,6.32,25.48,27.37,1.6,0.43,1.21
Meat,11.65,55.59,1.76,7.26,87.75,Compost,4.09,1.3,-5.5,-12.4,2.69,1.35,0.6
Grains,17.27,27.68,59.48,23.53,98.94,Compost,6.83,0.96,35.95,24.31,0.85,0.36,0.44
Meat,29.02,57.8,80.45,24.66,92.46,Compost,10.73,3.35,55.79,47.22,3.24,1.13,0.43
Grains,10.43,11.99,59.48,23.32,98.72,Compost,4.12,0.25,36.17,24.75,1.03,0.34,0.4
Meat,48.42,52.87,87.41,29.34,90.81,Compost,17.59,5.12,58.07,46.21,3.11,1.13,0.53
Grains,41.71,18.55,25.22,2.13,97.11,Animal Feed,16.2,1.55,23.09,26.01,1.07,0.27,0.42
Grains,5.19,15.24,95.39,8.36,95.63,Animal Feed,1.98,0.16,87.03,97.75,1.01,0.28,0.39
Grains,45.03,23.55,89.0,16.06,98.09,Compost,17.67,2.12,72.94,74.68,1.09,0.33,0.42
Vegetables,44.12,83.54,94.78,7.49,99.06,Animal Feed,17.48,7.37,87.29,98.76,1.67,0.49,1.1
Mixed,47.74,79.7,98.23,20.57,90.15,Biogas,17.21,7.61,77.66,76.73,1.47,0.44,0.92
Mixed,3.81,46.25,16.06,29.28,88.13,Compost,1.34,0.35,-13.22,-39.29,1.58,0.53,0.69
Vegetables,22.02,76.87,9.33,13.12,95.79,Biogas,8.44,3.38,-3.79,-15.05,1.35,0.56,1.34
Vegetables,17.99,87.47,0.51,12.26,90.9,Biogas,6.54,3.15,-11.75,-23.9,1.37,0.45,1.15
Grains,17.28,26.73,49.8,16.27,98.58,Compost,6.81,0.92,33.53,27.23,1.13,0.26,0.38
Vegetables,33.7,86.13,35.62,14.73,95.78,Biogas,12.91,5.8,20.89,13.28,1.12,0.49,1.0
Mixed,24.55,40.63,46.51,16.91,87.9,Compost,8.63,1.99,29.6,21.99,1.36,0.46,0.47
Mixed,32.56,71.24,49.49,29.84,88.85,Biogas,11.57,4.64,19.65,-0.29,1.23,0.51,0.7
Grains,4.33,23.65,2.86,18.51,95.23,Compost,1.65,0.2,-15.64,-33.57,0.93,0.24,0.4
Grains,46.17,19.99,72.1,27.12,98.54,Compost,18.2,1.85,44.97,32.27,1.17,0.34,0.36
Vegetables,22.93,86.98,5.68,21.53,90.95,Biogas,8.34,3.99,-15.85,-36.25,1.63,0.49,1.26
Grains,25.53,29.42,25.9,27.05,95.65,Compost,9.77,1.5,-1.15,-23.02,1.0,0.32,0.43
Grains,40.9,17.78,41.19,5.11,99.25,Animal Feed,16.24,1.45,36.08,39.21,0.9,0.32,0.34
Vegetables,11.38,83.41,68.52,21.13,94.82,Biogas,4.32,1.9,47.39,39.96,1.61,0.33,1.2
Vegetables,44.18,86.1,66.13,19.56,97.13,Biogas,17.16,7.61,46.57,40.23,1.54,0.52,1.14
Fruits,7.87,59.35,89.83,15.81,81.75,Compost,2.57,0.93,74.02,76.17,0.93,0.39,0.79
Fruits,3.94,50.24,6.5,2.38,84.67,Animal Feed,1.33,0.4,4.11,3.03,1.57,0.35,0.55
Meat,22.8,68.15,37.8,2.32,91.82,Biogas,8.37,3.11,35.48,40.72,2.76,1.16,0.59
Vegetables,15.12,70.23,34.58,20.31,92.3,Biogas,5.58,2.12,14.27,0.87,1.3,0.48,1.34
Vegetables,31.3,73.24,92.69,10.01,90.02,Biogas,11.27,4.58,82.68,91.2,1.53,0.51,1.35
Vegetables,20.63,87.65,50.51,4.11,95.66,Animal Feed,7.89,3.62,46.4,52.39,1.3,0.62,1.21
Vegetables,21.0,80.22,67.37,2.07,93.18,Animal Feed,7.83,3.37,65.3,76.71,1.23,0.52,1.2
Vegetables,45.89,85.75,16.67,13.37,98.43,Biogas,18.07,7.87,3.3,-6.74,1.48,0.59,1.01
Vegetables,23.92,80.73,21.54,24.87,96.44,Biogas,9.23,3.86,-3.32,-23.88,1.46,0.66,1.21
Mixed,32.14,44.76,57.71,7.95,96.12,Animal Feed,12.36,2.88,49.76,53.36,1.4,0.48,0.73
Grains,30.8,12.16,45.96,8.61,98.28,Animal Feed,12.11,0.75,37.35,37.93,0.95,0.22,0.45
Vegetables,2.42,94.54,35.99,13.92,96.25,Biogas,0.93,0.46,22.07,15.35,1.02,0.5,0.75
Vegetables,9.82,83.92,92.92,13.36,98.43,Biogas,3.87,1.65,79.57,84.79,1.65,0.53,1.44
Mixed,15.52,50.81,27.57,1.53,91.48,Animal Feed,5.68,1.58,26.05,30.03,1.64,0.26,0.98
Mixed,44.28,83.69,12.59,5.68,92.9,Animal Feed,16.45,7.41,6.92,3.76,0.74,0.46,1.17
Vegetables,44.62,74.32,95.85,7.98,99.23,Animal Feed,17.71,6.63,87.87,99.05,1.86,0.52,1.14
Vegetables,10.68,73.23,55.38,3.67,92.33,Animal Feed,3.95,1.56,51.7,59.11,1.39,0.43,1.62
Fruits,39.42,40.97,18.45,11.14,86.9,Compost,13.7,3.23,7.31,-0.14,1.34,0.43,0.75
Grains,3.61,24.3,90.33,29.96,97.72,Compost,1.41,0.18,60.37,48.48,0.84,0.27,0.44
Mixed,39.12,76.56,68.37,29.38,90.33,Biogas,14.13,5.99,38.99,23.28,1.37,0.3,0.46
Vegetables,16.97,83.55,95.32,29.56,91.7,Biogas,6.23,2.84,65.75,55.25,1.56,0.65,1.12
Grains,47.57,10.71,87.16,10.74,98.73,Compost,18.79,1.02,76.42,83.12,0.87,0.34,0.35
Grains,8.78,14.12,50.31,14.84,99.96,Compost,3.51,0.25,35.47,30.69,1.0,0.26,0.37
Vegetables,36.93,79.04,52.56,4.17,91.86,Animal Feed,13.57,5.84,48.39,54.73,1.64,0.31,1.17
Mixed,46.51,70.75,99.47,29.88,80.32,Compost,14.94,6.58,69.58,59.59,1.73,0.62,0.93
