waste_diverted,compost_generated,biogas_generated,co2_saved,water_saved,landfill_reduction,sdg_score
269.06,122.54,37.29,511.21,5916.62,242.15,83.21
235.75,84.82,52.87,447.92,3173.84,212.17,87.64
286.14,97.63,51.99,543.66,4361.61,257.52,81.58
351.19,133.82,58.98,667.25,15449.13,316.07,80.16
350.16,113.98,84.97,665.3,9728.98,315.14,72.83
468.23,145.52,65.14,889.64,11706.55,421.41,71.34
279.81,106.38,72.09,531.63,11393.78,251.83,87.03
216.21,82.48,52.78,410.8,3236.21,194.59,89.82
293.57,137.89,75.95,557.78,7331.91,264.21,63.55
464.37,171.32,81.15,882.31,21529.26,417.94,92.11
168.31,53.49,16.87,319.78,4633.81,151.48,79.9
171.65,60.41,29.41,326.14,3522.89,154.49,90.05
339.28,158.03,92.32,644.63,9296.38,305.35,76.72
490.02,227.06,127.2,931.04,16341.41,441.02,76.14
452.57,208.6,92.03,859.89,9422.44,407.32,65.15
298.72,107.3,45.66,567.56,4251.18,268.85,61.21
402.51,129.45,111.79,764.77,7467.07,362.26,86.59
420.35,192.74,115.42,798.66,9915.56,378.31,94.51
175.82,85.6,32.96,334.05,2158.56,158.24,87.47
404.33,137.26,107.03,768.24,6591.94,363.9,65.3
414.01,148.24,47.77,786.63,19977.72,372.61,79.5
251.63,100.86,58.91,478.11,11189.36,226.47,83.54
382.79,128.63,67.68,727.3,12782.17,344.51,81.68
171.81,85.05,21.24,326.44,2489.75,154.63,68.02
389.26,119.62,115.83,739.6,19271.99,350.33,65.59
230.54,78.56,41.87,438.03,7219.29,207.49,88.8
66.11,32.88,19.05,125.62,2169.62,59.5,76.83
297.79,90.44,73.71,565.8,8891.25,268.01,70.01
257.69,92.39,61.84,489.62,8910.4,231.93,73.58
191.41,91.04,45.26,363.68,7394.37,172.27,81.65
83.85,26.15,15.58,159.32,3959.57,75.47,78.36
444.15,141.82,108.75,843.88,8800.13,399.73,78.36
181.81,80.45,32.76,345.45,5179.3,163.63,68.59
176.66,59.34,37.23,335.65,2791.14,158.99,69.39
288.71,102.48,62.85,548.54,3050.65,259.84,94.06
378.49,151.69,107.56,719.14,16953.03,340.65,72.83
102.26,35.84,14.49,194.29,4090.56,92.03,79.18
432.54,172.13,109.85,821.83,9921.23,389.29,81.08
337.73,152.61,87.78,641.69,7112.64,303.96,73.48
143.21,64.38,22.08,272.1,3672.03,128.89,88.11
202.91,72.7,46.72,385.53,9945.68,182.62,62.19
425.65,138.05,71.93,808.74,11351.67,383.09,85.16
466.95,149.61,116.25,887.21,10689.38,420.26,91.57
175.2,76.87,23.29,332.88,8465.18,157.68,60.15
154.78,67.36,41.9,294.09,7699.28,139.31,66.06
188.21,90.04,20.04,357.61,7403.03,169.39,74.81
359.97,145.78,81.14,683.94,13198.79,323.97,82.09
349.05,144.39,84.74,663.2,14325.48,314.15,87.58
434.08,157.69,108.15,824.75,20777.91,390.67,72.86
399.94,143.29,54.04,759.88,11141.12,359.94,88.23
188.21,67.56,29.27,357.59,3524.11,169.38,81.39
159.5,77.67,26.99,303.05,5055.55,143.55,74.32
483.22,185.94,102.8,918.12,19588.34,434.9,66.0
64.69,25.29,13.59,122.91,1389.67,58.22,76.19
326.82,161.66,72.02,620.96,9136.08,294.14,60.79
189.76,70.53,37.08,360.55,7834.69,170.79,87.16
430.38,154.07,72.86,817.72,6890.17,387.34,90.01
343.51,108.38,55.21,652.66,5533.54,309.16,93.92
196.07,78.29,32.07,372.54,5680.55,176.46,94.95
179.32,63.93,31.25,340.72,3007.76,161.39,85.86
220.7,91.85,51.26,419.34,2519.93,198.63,82.54
289.75,91.72,36.19,550.52,8006.25,260.77,72.12
246.87,105.44,32.31,469.06,9010.32,222.19,88.63
51.32,19.18,7.96,97.5,1399.95,46.19,81.53
134.41,43.93,33.03,255.37,5030.84,120.97,76.13
275.6,97.55,45.7,523.63,6284.48,248.04,85.42
300.04,133.79,65.45,570.07,9548.89,270.04,71.22
227.96,108.85,49.05,433.12,7061.78,205.16,61.86
351.9,153.85,83.8,668.61,4803.04,316.71,70.52
217.05,100.99,64.28,412.4,5771.38,195.35,79.4
53.3,16.08,6.12,101.27,2066.97,47.97,66.23
391.03,151.09,105.58,742.96,17523.18,351.93,90.79
294.58,134.83,68.45,559.69,5145.81,265.12,73.35
483.06,219.56,73.71,917.82,10259.76,434.76,68.9
197.97,96.14,36.96,376.14,4864.06,178.17,68.37
451.58,221.94,74.38,858.01,15654.66,406.43,93.55
274.77,108.18,56.48,522.06,3112.22,247.29,70.5
364.55,179.85,77.92,692.64,6422.96,328.09,74.94
270.51,89.39,44.87,513.97,7520.84,243.46,69.17
209.25,74.34,46.57,397.57,6935.37,188.32,79.31
93.53,31.49,11.43,177.71,1172.06,84.18,68.64
137.53,61.2,32.9,261.32,2482.99,123.78,65.79
115.2,41.94,18.3,218.89,1283.54,103.68,79.88
454.11,185.17,51.21,862.82,15431.72,408.7,76.97
458.12,170.71,114.71,870.42,5285.59,412.31,85.25
68.69,25.34,19.89,130.51,2618.91,61.82,92.38
273.13,115.06,55.6,518.95,7963.1,245.82,80.24
67.5,22.76,9.65,128.26,1708.81,60.75,75.21
382.87,127.54,81.93,727.46,7998.82,344.59,78.05
331.98,138.27,47.5,630.76,12740.65,298.78,82.88
469.4,200.35,114.56,891.86,19921.92,422.46,63.71
363.35,132.16,96.15,690.37,10612.46,327.02,80.32
167.15,71.89,17.91,317.59,6676.54,150.44,65.72
152.41,45.75,24.79,289.58,3890.99,137.17,68.19
153.59,73.51,25.39,291.83,5973.49,138.24,68.31
414.07,180.35,104.03,786.73,11420.62,372.66,90.78
218.31,91.73,49.78,414.78,10498.33,196.48,64.71
111.02,43.57,31.48,210.94,1206.52,99.92,69.67
177.61,64.12,18.64,337.47,7641.7,159.85,60.31
264.97,82.48,68.82,503.44,10562.49,238.47,85.25
381.32,186.1,69.92,724.51,16954.59,343.19,66.45
253.07,76.37,39.69,480.83,7168.53,227.76,91.83
192.63,83.69,51.39,365.99,4442.24,173.37,65.92
316.04,112.79,72.84,600.47,4863.2,284.43,65.31
354.17,175.21,52.9,672.91,13655.38,318.75,78.62
429.73,162.34,126.49,816.48,5713.62,386.76,94.46
430.81,203.9,115.66,818.53,19159.94,387.73,88.53
454.78,178.35,130.91,864.09,11550.81,409.3,85.5
369.66,171.59,91.56,702.35,4219.72,332.69,85.87
60.48,24.6,16.2,114.92,2611.86,54.44,89.45
321.08,108.13,64.73,610.06,9840.76,288.98,71.37
240.84,114.27,49.03,457.6,9197.8,216.76,77.35
327.86,104.43,93.86,622.94,8995.66,295.08,86.19
350.2,161.04,37.46,665.37,16604.2,315.18,89.04
425.19,167.28,110.24,807.87,14034.46,382.67,77.62
403.21,171.59,46.54,766.11,9104.75,362.89,81.77
456.71,222.24,122.3,867.75,9212.99,411.04,76.57
245.03,95.01,26.94,465.55,4152.09,220.52,65.36
327.77,125.33,54.04,622.76,9097.67,294.99,71.35
390.86,130.32,43.47,742.64,14082.04,351.78,68.07
339.51,105.83,50.73,645.07,5484.9,305.56,70.17
197.98,79.0,40.39,376.17,6969.84,178.19,71.61
289.41,144.13,41.13,549.88,4661.88,260.47,89.49
234.66,110.15,43.4,445.86,2550.19,211.2,73.12
324.56,126.42,62.27,616.66,16206.08,292.1,79.04
363.62,161.52,36.37,690.88,11671.73,327.26,93.71
387.87,142.77,67.07,736.95,8589.27,349.08,82.06
93.79,33.58,18.72,178.2,2945.88,84.41,81.26
408.75,135.97,59.27,776.63,18349.87,367.88,89.09
419.71,143.42,46.86,797.44,12984.3,377.74,90.45
156.88,75.44,20.13,298.08,3439.47,141.19,70.44
118.0,56.0,21.54,224.19,2079.82,106.2,65.15
239.41,72.65,29.74,454.88,2429.53,215.47,60.85
498.82,194.43,122.6,947.75,19694.95,448.94,90.81
96.69,39.17,15.89,183.7,3088.07,87.02,71.62
132.65,57.64,14.28,252.03,6077.24,119.38,65.12
326.81,147.34,37.45,620.95,15076.55,294.13,72.47
498.53,156.42,121.32,947.2,8190.09,448.67,74.09
249.45,95.1,41.79,473.95,10149.54,224.5,88.7
201.03,79.71,37.06,381.95,6782.77,180.92,65.26
412.56,189.53,89.97,783.86,16438.7,371.3,94.6
465.13,196.42,94.09,883.74,14596.24,418.62,76.33
266.1,118.79,79.41,505.59,3143.35,239.49,68.06
144.59,67.46,26.6,274.73,4483.16,130.13,76.42
434.16,173.64,101.41,824.9,4679.92,390.74,82.84
158.43,75.0,39.66,301.01,2276.85,142.59,63.62
181.85,59.13,45.11,345.51,8996.57,163.66,82.93
162.07,66.91,42.32,307.93,7858.55,145.86,60.18
285.66,111.59,52.25,542.76,8613.67,257.09,74.12
204.81,66.14,40.96,389.13,8774.35,184.33,63.67
382.32,135.17,67.38,726.41,18933.84,344.09,83.63
373.6,157.09,61.45,709.84,13824.95,336.24,76.0
424.44,175.81,107.91,806.43,18649.91,381.99,88.74
230.95,86.32,63.24,438.8,3631.43,207.85,69.78
104.45,32.22,23.31,198.46,4808.16,94.01,64.53
408.07,153.38,91.26,775.33,16547.07,367.26,84.85
111.52,36.03,31.76,211.88,1469.66,100.37,67.64
247.26,114.78,54.53,469.79,8121.71,222.53,84.22
410.97,142.4,42.65,780.85,6200.69,369.87,65.78
