date,day_of_week,month,meal_type,people_served,food_prepared_kg,food_consumed_kg,food_wasted_kg,temperature,rainfall,festival,special_event
2024-08-15,3,8,Breakfast,146,75.25,61.94,13.31,29.4,0.0,0,0
2024-08-15,3,8,Lunch,274,119.31,111.56,7.74,28.1,0.0,0,0
2024-08-15,3,8,Dinner,171,81.57,74.46,7.11,24.4,6.6,0,0
2024-08-16,4,8,Breakfast,142,72.99,52.87,20.12,20.4,0.0,0,0
2024-08-16,4,8,Lunch,265,125.05,96.72,28.34,25.3,2.7,0,0
2024-08-16,4,8,Dinner,210,117.53,101.37,16.16,27.6,4.9,0,0
2024-08-17,5,8,Breakfast,95,48.99,34.73,14.26,29.8,0.8,0,0
2024-08-17,5,8,Lunch,146,59.49,53.88,5.61,36.6,0.0,0,0
2024-08-17,5,8,Dinner,115,60.33,43.52,16.81,20.5,0.0,0,0
2024-08-18,6,8,Breakfast,84,49.99,41.45,8.55,25.2,0.0,0,0
2024-08-18,6,8,Lunch,168,68.05,64.01,4.04,30.2,0.0,0,0
2024-08-18,6,8,Dinner,130,58.51,48.99,9.52,27.5,0.0,0,0
2024-08-19,0,8,Breakfast,168,85.83,73.2,12.62,29.7,0.0,0,0
2024-08-19,0,8,Lunch,285,120.62,85.82,34.8,17.4,0.0,0,0
2024-08-19,0,8,Dinner,237,103.01,83.28,19.73,23.8,0.0,0,0
2024-08-20,1,8,Breakfast,128,67.22,55.51,11.71,33.2,0.0,0,0
2024-08-20,1,8,Lunch,327,132.53,112.18,20.35,27.0,0.0,0,0
2024-08-20,1,8,Dinner,213,108.44,101.43,7.01,25.6,0.0,0,0
2024-08-21,2,8,Breakfast,148,59.74,43.23,16.51,27.2,0.4,0,0
2024-08-21,2,8,Lunch,306,172.25,132.71,39.54,22.6,0.0,0,0
2024-08-21,2,8,Dinner,186,104.29,80.36,23.93,26.8,0.0,0,0
2024-08-22,3,8,Breakfast,111,61.64,48.4,13.24,27.8,9.3,0,0
2024-08-22,3,8,Lunch,286,143.3,129.92,13.38,32.8,0.0,0,0
2024-08-22,3,8,Dinner,193,80.72,62.95,17.77,28.4,0.0,0,0
2024-08-23,4,8,Breakfast,165,88.19,78.32,9.87,34.6,0.0,0,0
2024-08-23,4,8,Lunch,318,162.15,131.4,30.75,28.1,0.0,0,0
2024-08-23,4,8,Dinner,216,113.11,82.03,31.07,23.5,0.0,0,0
2024-08-24,5,8,Breakfast,85,35.38,25.52,9.86,26.2,0.0,0,0
2024-08-24,5,8,Lunch,137,57.09,51.05,6.03,30.8,8.5,0,0
2024-08-24,5,8,Dinner,138,68.14,48.65,19.48,14.8,0.2,0,0
2024-08-25,6,8,Breakfast,96,43.89,40.25,3.64,31.4,0.0,0,0
2024-08-25,6,8,Lunch,234,118.08,101.24,16.84,26.1,0.0,0,1
2024-08-25,6,8,Dinner,142,58.09,44.74,13.35,22.8,0.0,0,0
2024-08-26,0,8,Breakfast,137,64.48,54.55,9.94,35.9,0.0,0,0
2024-08-26,0,8,Lunch,310,175.0,164.05,10.95,15.4,2.3,0,0
2024-08-26,0,8,Dinner,229,93.67,66.19,27.48,28.7,0.0,0,0
2024-08-27,1,8,Breakfast,142,84.35,76.8,7.55,30.9,0.3,0,0
2024-08-27,1,8,Lunch,337,193.08,174.4,18.69,24.4,0.0,0,0
2024-08-27,1,8,Dinner,206,87.72,82.33,5.39,32.6,3.8,0,0
2024-08-28,2,8,Breakfast,158,66.79,57.97,8.82,18.2,0.0,0,0
2024-08-28,2,8,Lunch,303,155.19,142.65,12.55,32.8,0.0,0,0
2024-08-28,2,8,Dinner,194,104.92,79.03,25.89,19.9,0.0,0,0
2024-08-29,3,8,Breakfast,123,57.77,47.86,9.91,30.3,0.0,0,0
2024-08-29,3,8,Lunch,340,146.0,136.02,9.98,22.6,0.0,0,0
2024-08-29,3,8,Dinner,298,138.79,122.31,16.49,16.5,0.0,1,0
2024-08-30,4,8,Breakfast,135,66.8,57.91,8.89,26.8,0.0,0,0
2024-08-30,4,8,Lunch,285,124.09,89.61,34.48,22.8,0.0,0,0
2024-08-30,4,8,Dinner,179,96.32,68.37,27.95,24.5,0.0,0,0
2024-08-31,5,8,Breakfast,100,41.22,31.71,9.51,27.6,0.0,0,0
2024-08-31,5,8,Lunch,193,95.9,81.95,13.95,28.1,0.0,0,0
2024-08-31,5,8,Dinner,93,50.47,46.62,3.85,21.9,0.0,0,0
2024-09-01,6,9,Breakfast,100,44.85,34.41,10.44,40.4,0.0,0,0
2024-09-01,6,9,Lunch,179,75.89,70.02,5.87,24.1,0.0,0,0
2024-09-01,6,9,Dinner,130,65.96,55.85,10.11,33.4,0.0,0,0
2024-09-02,0,9,Breakfast,173,91.55,77.15,14.4,22.8,0.0,0,0
2024-09-02,0,9,Lunch,316,136.56,101.96,34.6,18.0,0.0,0,0
2024-09-02,0,9,Dinner,189,112.73,82.07,30.66,20.9,0.2,0,0
2024-09-03,1,9,Breakfast,148,78.99,73.65,5.34,27.0,3.4,0,0
2024-09-03,1,9,Lunch,348,161.73,130.41,31.32,35.2,0.0,0,0
2024-09-03,1,9,Dinner,200,103.25,76.26,26.99,16.9,0.0,0,0
2024-09-04,2,9,Breakfast,125,51.58,48.88,2.71,38.9,0.0,0,0
2024-09-04,2,9,Lunch,282,146.39,119.73,26.66,30.0,0.0,0,0
2024-09-04,2,9,Dinner,179,97.77,91.37,6.4,16.1,3.6,0,0
2024-09-05,3,9,Breakfast,173,74.86,55.48,19.38,27.4,0.3,0,0
2024-09-05,3,9,Lunch,331,158.38,143.2,15.18,27.7,0.0,0,0
2024-09-05,3,9,Dinner,179,89.6,67.92,21.68,14.8,0.0,0,0
2024-09-06,4,9,Breakfast,162,68.59,64.13,4.46,23.8,0.0,0,0
2024-09-06,4,9,Lunch,334,169.24,156.28,12.95,17.6,0.0,0,0
2024-09-06,4,9,Dinner,208,84.59,71.27,13.33,22.6,0.0,0,0
2024-09-07,5,9,Breakfast,93,52.94,38.75,14.2,27.4,0.0,0,0
2024-09-07,5,9,Lunch,171,93.03,80.03,13.0,31.4,0.0,0,0
2024-09-07,5,9,Dinner,142,82.6,69.87,12.73,27.1,0.0,0,0
2024-09-08,6,9,Breakfast,69,36.04,25.39,10.65,20.5,0.3,0,0
2024-09-08,6,9,Lunch,190,99.06,79.84,19.21,33.9,2.5,0,0
2024-09-08,6,9,Dinner,157,89.14,65.18,23.96,25.9,1.2,0,1
2024-09-09,0,9,Breakfast,157,88.01,61.71,26.3,37.7,0.0,0,0
2024-09-09,0,9,Lunch,250,117.35,103.78,13.57,19.9,0.0,0,0
2024-09-09,0,9,Dinner,194,96.94,78.01,18.93,17.5,0.0,0,0
2024-09-10,1,9,Breakfast,160,85.23,63.46,21.78,23.8,0.0,0,0
2024-09-10,1,9,Lunch,295,162.25,122.09,40.16,21.0,1.4,0,0
2024-09-10,1,9,Dinner,203,104.13,74.6,29.53,24.4,0.0,0,0
2024-09-11,2,9,Breakfast,172,88.05,65.05,23.0,23.7,0.0,0,0
2024-09-11,2,9,Lunch,292,140.67,99.36,41.31,26.4,0.9,0,0
2024-09-11,2,9,Dinner,184,82.1,71.26,10.84,27.4,0.0,0,0
2024-09-12,3,9,Breakfast,157,70.44,62.02,8.41,22.4,0.0,0,0
2024-09-12,3,9,Lunch,307,140.8,130.11,10.69,26.2,0.0,0,0
2024-09-12,3,9,Dinner,174,81.5,62.33,19.16,26.6,0.0,0,0
2024-09-13,4,9,Breakfast,123,62.78,50.79,11.99,31.6,0.0,0,0
2024-09-13,4,9,Lunch,297,147.75,136.47,11.28,26.1,0.0,0,0
2024-09-13,4,9,Dinner,226,119.03,91.0,28.04,23.3,0.0,0,0
2024-09-14,5,9,Breakfast,88,35.52,32.99,2.54,25.9,1.5,0,0
2024-09-14,5,9,Lunch,162,91.68,68.91,22.77,26.0,0.0,0,0
2024-09-14,5,9,Dinner,138,66.76,53.13,13.63,33.1,0.0,0,0
2024-09-15,6,9,Breakfast,90,46.86,35.67,11.18,21.9,0.0,0,0
2024-09-15,6,9,Lunch,165,84.69,69.36,15.33,17.4,0.0,0,0
2024-09-15,6,9,Dinner,122,55.2,46.85,8.35,27.5,0.0,0,0
2024-09-16,0,9,Breakfast,140,58.98,42.4,16.59,25.0,0.0,0,0
2024-09-16,0,9,Lunch,353,199.03,179.1,19.93,24.8,0.0,0,0
2024-09-16,0,9,Dinner,218,127.19,93.39,33.81,19.6,0.0,0,0
2024-09-17,1,9,Breakfast,159,86.88,78.34,8.55,24.6,0.0,0,0
2024-09-17,1,9,Lunch,331,197.78,185.13,12.66,31.4,0.6,0,0
2024-09-17,1,9,Dinner,202,118.15,111.38,6.76,29.1,0.0,0,0
2024-09-18,2,9,Breakfast,160,65.18,55.35,9.84,24.8,3.7,0,0
2024-09-18,2,9,Lunch,290,158.04,113.21,44.83,22.8,0.0,0,0
2024-09-18,2,9,Dinner,161,92.93,79.36,13.57,27.1,0.0,0,0
2024-09-19,3,9,Breakfast,248,137.25,125.23,12.03,25.4,3.2,1,0
2024-09-19,3,9,Lunch,309,169.18,128.53,40.66,29.6,2.9,0,0
2024-09-19,3,9,Dinner,183,74.74,52.65,22.09,23.5,0.0,0,0
2024-09-20,4,9,Breakfast,153,90.27,80.93,9.34,24.8,0.0,0,0
2024-09-20,4,9,Lunch,220,95.35,90.37,4.98,24.2,5.8,0,0
2024-09-20,4,9,Dinner,232,103.03,76.92,26.11,30.8,0.0,0,0
2024-09-21,5,9,Breakfast,100,58.56,55.55,3.0,21.8,0.0,0,0
2024-09-21,5,9,Lunch,158,88.98,67.28,21.7,23.1,0.0,0,0
2024-09-21,5,9,Dinner,101,58.12,44.55,13.58,26.0,0.0,0,0
2024-09-22,6,9,Breakfast,99,46.98,35.94,11.04,27.7,0.0,0,0
2024-09-22,6,9,Lunch,212,88.03,80.35,7.68,24.8,0.0,0,0
2024-09-22,6,9,Dinner,109,58.38,49.12,9.26,7.6,0.0,0,0
2024-09-23,0,9,Breakfast,144,82.58,72.43,10.15,27.9,0.0,0,0
2024-09-23,0,9,Lunch,325,140.31,129.12,11.19,27.5,0.0,0,0
2024-09-23,0,9,Dinner,202,113.85,103.38,10.47,24.2,0.0,0,0
2024-09-24,1,9,Breakfast,195,102.64,78.52,24.13,23.9,0.0,0,1
2024-09-24,1,9,Lunch,364,185.0,174.04,10.96,28.2,0.0,0,0
2024-09-24,1,9,Dinner,171,70.72,54.83,15.89,31.0,0.2,0,0
2024-09-25,2,9,Breakfast,152,62.19,57.08,5.11,23.2,0.0,0,0
2024-09-25,2,9,Lunch,311,144.53,118.83,25.7,22.2,0.0,0,0
2024-09-25,2,9,Dinner,288,139.75,113.59,26.15,28.7,0.0,0,1
2024-09-26,3,9,Breakfast,142,76.13,65.74,10.38,27.2,0.0,0,0
2024-09-26,3,9,Lunch,265,120.53,114.02,6.51,23.9,1.1,0,0
2024-09-26,3,9,Dinner,195,103.42,81.92,21.5,29.5,0.0,0,0
2024-09-27,4,9,Breakfast,166,91.99,83.83,8.17,24.6,0.4,0,0
2024-09-27,4,9,Lunch,339,177.41,159.51,17.89,28.2,0.0,0,0
2024-09-27,4,9,Dinner,199,87.58,72.07,15.51,19.8,0.0,0,0
2024-09-28,5,9,Breakfast,83,40.76,28.65,12.11,25.6,0.0,0,0
2024-09-28,5,9,Lunch,167,90.01,82.36,7.65,24.1,0.0,0,0
2024-09-28,5,9,Dinner,179,89.46,84.21,5.25,20.2,0.0,1,0
2024-09-29,6,9,Breakfast,90,42.31,29.97,12.34,23.9,0.0,0,0
2024-09-29,6,9,Lunch,166,92.98,69.74,23.24,24.1,0.0,0,0
2024-09-29,6,9,Dinner,131,66.58,58.41,8.17,32.0,0.0,0,0
2024-09-30,0,9,Breakfast,160,92.63,77.53,15.11,27.0,0.8,0,0
2024-09-30,0,9,Lunch,339,141.13,100.92,40.21,24.0,0.0,0,0
2024-09-30,0,9,Dinner,190,82.92,74.41,8.51,21.7,0.5,0,0
2024-10-01,1,10,Breakfast,182,109.07,102.93,6.14,24.9,0.0,0,0
2024-10-01,1,10,Lunch,316,142.69,116.38,26.3,19.4,0.0,0,0
2024-10-01,1,10,Dinner,212,100.53,95.2,5.34,27.0,0.0,0,0
2024-10-02,2,10,Breakfast,180,104.43,84.11,20.32,17.2,0.0,0,0
2024-10-02,2,10,Lunch,252,137.75,100.96,36.79,28.3,0.5,0,0
2024-10-02,2,10,Dinner,266,116.03,106.0,10.03,27.5,0.0,0,1
2024-10-03,3,10,Breakfast,149,77.27,57.25,20.02,16.7,1.2,0,0
2024-10-03,3,10,Lunch,297,164.74,120.71,44.03,26.9,0.0,0,0
2024-10-03,3,10,Dinner,209,105.33,82.6,22.72,24.8,0.0,0,0
2024-10-04,4,10,Breakfast,168,72.81,54.02,18.79,23.7,0.0,0,0
2024-10-04,4,10,Lunch,362,159.7,116.26,43.44,23.4,3.3,0,0
2024-10-04,4,10,Dinner,199,84.46,68.67,15.79,24.6,0.0,0,0
2024-10-05,5,10,Breakfast,94,56.15,52.85,3.3,24.1,0.0,0,0
2024-10-05,5,10,Lunch,186,99.21,72.91,26.3,29.6,0.0,0,0
2024-10-05,5,10,Dinner,127,67.88,55.05,12.83,20.3,0.0,0,0
2024-10-06,6,10,Breakfast,91,48.84,40.25,8.58,24.0,0.0,0,0
2024-10-06,6,10,Lunch,185,99.51,86.49,13.02,29.8,0.0,0,0
2024-10-06,6,10,Dinner,106,56.35,53.52,2.83,28.2,0.0,0,0
2024-10-07,0,10,Breakfast,146,84.05,67.33,16.72,30.0,0.0,0,0
2024-10-07,0,10,Lunch,263,148.22,108.21,40.01,30.9,2.9,0,0
2024-10-07,0,10,Dinner,200,107.82,85.95,21.87,24.1,0.0,0,0
2024-10-08,1,10,Breakfast,145,75.5,65.46,10.04,17.2,0.0,0,0
2024-10-08,1,10,Lunch,367,181.97,128.55,53.43,21.6,0.0,0,0
2024-10-08,1,10,Dinner,169,88.15,78.56,9.59,19.2,0.0,0,0
2024-10-09,2,10,Breakfast,162,85.78,79.3,6.48,28.0,0.0,0,0
2024-10-09,2,10,Lunch,298,125.24,102.88,22.36,25.5,0.0,0,0
2024-10-09,2,10,Dinner,180,83.21,70.94,12.27,20.6,0.0,0,0
2024-10-10,3,10,Breakfast,164,87.94,65.55,22.39,20.1,0.0,0,0
2024-10-10,3,10,Lunch,306,181.33,148.85,32.48,34.2,0.0,0,0
2024-10-10,3,10,Dinner,295,153.5,138.88,14.61,26.1,0.0,0,1
2024-10-11,4,10,Breakfast,156,88.6,81.96,6.64,23.6,0.0,0,0
2024-10-11,4,10,Lunch,279,135.24,117.24,18.0,18.8,0.0,0,0
2024-10-11,4,10,Dinner,184,100.72,92.23,8.49,26.2,0.0,0,0
2024-10-12,5,10,Breakfast,88,44.82,33.97,10.85,24.1,0.0,0,0
2024-10-12,5,10,Lunch,224,120.74,109.35,11.39,32.3,0.0,1,0
2024-10-12,5,10,Dinner,133,68.59,52.71,15.87,29.9,0.3,0,0
2024-10-13,6,10,Breakfast,83,34.32,30.89,3.43,19.5,0.0,0,0
2024-10-13,6,10,Lunch,151,70.46,61.11,9.34,26.2,2.1,0,0
2024-10-13,6,10,Dinner,125,73.94,55.0,18.94,33.4,0.0,0,0
2024-10-14,0,10,Breakfast,159,87.65,68.97,18.68,20.0,0.0,0,0
2024-10-14,0,10,Lunch,318,190.32,177.33,12.99,30.5,0.5,0,0
2024-10-14,0,10,Dinner,202,111.31,81.47,29.84,31.1,0.0,0,0
2024-10-15,1,10,Breakfast,158,71.51,56.5,15.02,27.5,0.0,0,0
2024-10-15,1,10,Lunch,315,158.49,147.37,11.12,15.8,0.0,0,0
2024-10-15,1,10,Dinner,199,112.13,89.16,22.97,26.3,0.5,0,0
2024-10-16,2,10,Breakfast,158,68.68,60.01,8.67,27.8,0.0,0,0
2024-10-16,2,10,Lunch,299,171.15,159.29,11.86,25.1,0.0,0,0
2024-10-16,2,10,Dinner,193,92.59,68.2,24.39,37.3,0.0,0,0
2024-10-17,3,10,Breakfast,191,97.39,91.69,5.7,22.0,0.0,0,1
2024-10-17,3,10,Lunch,280,147.89,111.51,36.38,16.0,0.0,0,0
2024-10-17,3,10,Dinner,224,110.2,78.74,31.46,32.7,0.0,0,0
2024-10-18,4,10,Breakfast,143,77.0,55.1,21.9,22.2,0.0,0,0
2024-10-18,4,10,Lunch,300,151.62,122.29,29.34,25.8,1.9,0,0
2024-10-18,4,10,Dinner,195,106.61,95.13,11.48,18.2,0.0,0,0
2024-10-19,5,10,Breakfast,88,48.58,35.67,12.91,24.9,0.0,0,0
2024-10-19,5,10,Lunch,238,133.35,125.34,8.02,17.6,0.0,0,1
2024-10-19,5,10,Dinner,119,49.93,41.05,8.89,20.0,0.0,0,0
2024-10-20,6,10,Breakfast,82,39.27,32.0,7.27,22.8,0.0,0,0
2024-10-20,6,10,Lunch,183,89.22,68.13,21.08,26.4,3.1,0,0
2024-10-20,6,10,Dinner,131,69.08,58.96,10.12,24.6,0.0,0,0
2024-10-21,0,10,Breakfast,138,73.97,52.55,21.42,25.2,0.0,0,0
2024-10-21,0,10,Lunch,286,169.11,149.56,19.55,26.2,0.0,0,0
2024-10-21,0,10,Dinner,180,78.67,58.49,20.18,18.3,0.0,0,0
2024-10-22,1,10,Breakfast,139,57.88,54.53,3.36,26.4,0.0,0,0
2024-10-22,1,10,Lunch,277,117.52,100.34,17.19,30.0,0.0,0,0
2024-10-22,1,10,Dinner,291,162.89,125.94,36.94,28.2,0.0,0,1
2024-10-23,2,10,Breakfast,154,81.82,59.89,21.93,25.3,0.0,0,0
2024-10-23,2,10,Lunch,293,142.95,121.97,20.98,27.8,0.0,0,0
2024-10-23,2,10,Dinner,194,111.02,101.21,9.81,23.9,2.1,0,0
2024-10-24,3,10,Breakfast,154,84.04,75.14,8.9,24.2,0.0,0,0
2024-10-24,3,10,Lunch,472,192.88,167.25,25.63,19.8,0.0,1,0
2024-10-24,3,10,Dinner,211,115.32,96.36,18.96,29.1,0.0,0,0
2024-10-25,4,10,Breakfast,189,108.61,93.31,15.31,26.2,0.0,0,0
2024-10-25,4,10,Lunch,314,171.22,162.31,8.91,21.9,0.0,0,0
2024-10-25,4,10,Dinner,182,95.22,71.13,24.09,24.0,0.5,0,0
2024-10-26,5,10,Breakfast,84,34.19,30.31,3.88,31.0,0.0,0,0
2024-10-26,5,10,Lunch,160,95.88,75.95,19.94,17.8,0.0,0,0
2024-10-26,5,10,Dinner,115,62.0,43.45,18.55,33.6,1.8,0,0
2024-10-27,6,10,Breakfast,101,50.12,43.13,6.99,17.4,0.0,0,0
2024-10-27,6,10,Lunch,167,89.39,80.57,8.83,25.6,0.0,0,0
2024-10-27,6,10,Dinner,113,52.75,47.28,5.47,28.9,0.0,0,0
2024-10-28,0,10,Breakfast,160,74.5,60.24,14.27,29.7,0.0,0,0
2024-10-28,0,10,Lunch,385,225.85,194.38,31.47,24.6,0.0,0,1
2024-10-28,0,10,Dinner,178,101.1,80.47,20.63,34.3,0.0,0,0
2024-10-29,1,10,Breakfast,173,70.11,49.5,20.61,34.4,0.0,0,0
2024-10-29,1,10,Lunch,323,145.95,117.84,28.11,22.4,0.0,0,0
2024-10-29,1,10,Dinner,189,78.65,69.37,9.28,27.6,0.0,0,0
2024-10-30,2,10,Breakfast,147,76.74,56.32,20.43,10.6,0.0,0,0
2024-10-30,2,10,Lunch,336,151.99,115.78,36.21,28.8,0.1,0,0
2024-10-30,2,10,Dinner,207,114.96,82.35,32.61,23.9,0.0,0,0
2024-10-31,3,10,Breakfast,149,75.47,60.58,14.88,22.4,0.0,0,0
2024-10-31,3,10,Lunch,379,194.06,181.29,12.77,28.7,0.0,0,1
2024-10-31,3,10,Dinner,244,110.12,95.09,15.03,24.5,0.0,0,1
2024-11-01,4,11,Breakfast,129,60.62,44.16,16.46,26.5,0.0,0,0
2024-11-01,4,11,Lunch,283,142.82,104.07,38.75,22.9,0.0,0,0
2024-11-01,4,11,Dinner,213,88.68,72.24,16.44,27.1,0.0,0,0
2024-11-02,5,11,Breakfast,89,42.93,37.04,5.89,18.7,3.8,0,0
2024-11-02,5,11,Lunch,181,74.28,66.6,7.68,21.4,0.0,0,0
2024-11-02,5,11,Dinner,110,55.43,41.64,13.79,21.8,0.0,0,0
2024-11-03,6,11,Breakfast,141,57.17,52.04,5.13,23.2,0.0,1,0
2024-11-03,6,11,Lunch,195,110.06,87.51,22.55,25.4,0.0,0,0
2024-11-03,6,11,Dinner,102,53.75,48.34,5.4,25.6,0.0,0,0
2024-11-04,0,11,Breakfast,147,82.12,63.99,18.13,28.8,0.0,0,0
2024-11-04,0,11,Lunch,287,123.53,100.07,23.46,23.3,0.0,0,0
2024-11-04,0,11,Dinner,265,128.14,121.23,6.92,21.3,3.3,0,1
2024-11-05,1,11,Breakfast,171,73.95,52.0,21.95,30.7,0.0,0,0
2024-11-05,1,11,Lunch,377,205.95,153.82,52.14,30.9,0.0,0,0
2024-11-05,1,11,Dinner,206,101.81,92.18,9.63,26.4,0.0,0,0
2024-11-06,2,11,Breakfast,140,60.87,53.44,7.43,14.4,0.0,0,0
2024-11-06,2,11,Lunch,287,152.18,130.15,22.03,22.2,0.0,0,0
2024-11-06,2,11,Dinner,191,81.22,70.59,10.64,30.0,0.0,0,0
2024-11-07,3,11,Breakfast,133,59.24,53.87,5.38,31.0,0.0,0,0
2024-11-07,3,11,Lunch,259,114.61,81.18,33.43,29.4,0.0,0,0
2024-11-07,3,11,Dinner,173,92.21,70.55,21.66,30.1,4.1,0,0
2024-11-08,4,11,Breakfast,159,78.24,71.68,6.56,26.4,0.0,0,0
2024-11-08,4,11,Lunch,325,178.09,165.54,12.55,14.1,0.2,0,0
2024-11-08,4,11,Dinner,191,107.15,75.49,31.66,28.5,0.0,0,0
2024-11-09,5,11,Breakfast,85,45.96,38.39,7.58,29.4,0.0,0,0
2024-11-09,5,11,Lunch,173,89.9,69.61,20.29,23.9,0.0,0,0
2024-11-09,5,11,Dinner,109,58.16,49.34,8.82,30.3,0.0,0,0
2024-11-10,6,11,Breakfast,88,52.72,48.18,4.54,24.5,0.0,0,0
2024-11-10,6,11,Lunch,180,104.75,90.85,13.9,21.3,1.8,0,0
2024-11-10,6,11,Dinner,152,84.33,71.72,12.61,28.3,0.0,0,0
2024-11-11,0,11,Breakfast,164,88.65,67.31,21.33,24.3,0.0,0,0
2024-11-11,0,11,Lunch,300,177.03,150.51,26.53,20.2,0.0,0,0
2024-11-11,0,11,Dinner,233,110.06,90.04,20.02,25.2,0.0,0,0
2024-11-12,1,11,Breakfast,118,52.09,43.19,8.9,23.9,0.0,0,0
2024-11-12,1,11,Lunch,277,162.42,129.81,32.61,23.5,1.7,0,0
2024-11-12,1,11,Dinner,184,105.77,87.09,18.68,26.1,0.0,0,0
2024-11-13,2,11,Breakfast,140,81.41,71.52,9.89,23.0,0.0,0,0
2024-11-13,2,11,Lunch,261,137.62,98.09,39.53,17.1,6.2,0,0
2024-11-13,2,11,Dinner,217,102.82,75.08,27.73,33.1,0.0,0,0
2024-11-14,3,11,Breakfast,142,83.55,72.45,11.1,32.6,0.0,0,0
2024-11-14,3,11,Lunch,342,199.27,170.0,29.26,19.5,0.0,0,0
2024-11-14,3,11,Dinner,212,107.44,79.03,28.41,26.9,0.0,0,0
2024-11-15,4,11,Breakfast,146,59.68,43.61,16.07,24.8,0.0,0,0
2024-11-15,4,11,Lunch,321,172.86,139.58,33.28,15.2,0.0,0,0
2024-11-15,4,11,Dinner,218,122.01,110.49,11.52,19.0,0.0,0,0
2024-11-16,5,11,Breakfast,83,44.91,39.17,5.74,15.9,0.0,0,0
2024-11-16,5,11,Lunch,172,80.7,59.6,21.09,19.5,0.0,0,0
2024-11-16,5,11,Dinner,118,56.87,44.23,12.64,25.2,0.0,0,0
2024-11-17,6,11,Breakfast,135,66.26,57.78,8.48,29.8,0.0,0,1
2024-11-17,6,11,Lunch,207,98.71,70.06,28.65,24.8,0.0,0,1
2024-11-17,6,11,Dinner,115,56.55,43.67,12.87,24.6,0.0,0,0
2024-11-18,0,11,Breakfast,199,91.08,85.64,5.44,24.5,1.8,0,1
2024-11-18,0,11,Lunch,255,130.24,108.81,21.43,17.3,0.0,0,0
2024-11-18,0,11,Dinner,210,92.17,65.85,26.32,28.2,0.0,0,0
2024-11-19,1,11,Breakfast,137,58.61,47.54,11.08,18.7,1.6,0,0
2024-11-19,1,11,Lunch,555,291.2,271.01,20.18,24.0,0.0,1,0
2024-11-19,1,11,Dinner,174,77.53,72.95,4.57,22.8,0.0,0,0
2024-11-20,2,11,Breakfast,157,87.62,64.07,23.55,26.3,0.0,0,0
2024-11-20,2,11,Lunch,260,155.01,127.24,27.77,21.7,5.8,0,0
2024-11-20,2,11,Dinner,220,121.52,96.81,24.71,26.3,0.0,0,0
2024-11-21,3,11,Breakfast,256,123.27,111.79,11.48,14.3,0.0,0,1
2024-11-21,3,11,Lunch,344,167.81,153.0,14.81,27.1,0.4,0,0
2024-11-21,3,11,Dinner,220,88.84,72.78,16.06,24.3,0.0,0,0
