food_category,weight,moisture,freshness,contamination_level,organic_percentage,recommended_method,compost_yield,biogas_yield,animal_feed_score,donation_score,nitrogen,phosphorus,potassium,food_category_encoded
Vegetables,-1.20876666761833,0.8906621278027979,0.683388436201324,-0.7222625151258654,0.10653266747761352,Animal Feed,3.11,1.36,60.87,65.97,1.37,0.61,1.28,4
Grains,0.4780267840221394,-1.328239828692618,-0.2572315194203714,-0.915185051598563,1.219156956450316,Animal Feed,12.77,1.4,35.59,36.99,1.11,0.27,0.44,1
Vegetables,-1.068023733917511,0.43346478086798795,1.6543622257025026,0.4754648988087997,0.6916577915588759,Biogas,3.97,1.43,78.27,78.52,1.15,0.43,1.33,4
Grains,-0.6613544531236871,-1.5954851678498874,-0.5185536064977638,-0.16072013217854877,0.43899012434196705,Compost,6.13,0.46,21.53,14.86,1.05,0.33,0.36,1
Vegetables,-0.31621600264127664,0.5238833949348404,-0.28828314258444077,-0.42254357453435293,0.27719416200131414,Biogas,7.95,3.03,30.41,27.33,1.52,0.49,1.53,4
Vegetables,0.09611128553750489,0.8986831338893734,0.8710937537549114,-1.2401676576805478,0.1331292640267628,Animal Feed,10.1,4.42,70.76,81.46,1.6,0.57,1.3,4
Grains,-1.4407449704015896,-1.251311088498643,1.4725881170678943,0.31814116370904016,0.6273826832317662,Compost,1.91,0.24,74.43,75.0,0.84,0.36,0.4,1
Mixed,-1.2462509665436738,0.2683049737216811,0.28529964934510926,0.3709651915527551,0.06442138960812924,Biogas,2.9,1.01,39.94,33.24,1.05,0.31,0.81,3
Meat,0.9186441091257084,0.4032037124504528,-0.6581114634149293,-0.9599706404225823,-0.5428675649307586,Biogas,14.04,5.31,24.49,23.98,2.77,0.73,0.51,2
Grains,0.3811334075547413,-1.7504364217950978,-0.2600226765587149,-0.5833123549282677,1.0684429093384773,Compost,12.14,0.63,32.62,31.11,0.92,0.32,0.34,1
Grains,0.9921982051301569,-1.7409570509655083,0.8738849108932546,-0.40416999963219125,1.2789992986858987,Compost,15.71,0.82,63.56,66.99,1.06,0.34,0.37,1
Fruits,-1.1055080328428548,-0.18415268779833377,-0.030450001929977533,1.2138529401894225,-0.9218690657561203,Compost,3.48,1.03,23.55,7.71,1.62,0.33,0.44,0
Grains,-0.4633241946501728,-1.5772556085622156,-0.4236542637940914,-0.4948895257116145,0.656195662826679,Compost,7.28,0.56,27.15,23.93,1.17,0.31,0.39,1
Vegetables,1.0303897549786203,0.7251377294707373,0.7590985735788862,0.1481855958640445,0.20848628758268056,Biogas,15.16,6.23,55.46,53.42,1.42,0.37,1.32,4
Grains,1.0869698288281957,-1.5801723380482429,0.35054294745388404,0.8590132748914249,1.183694827718119,Compost,16.18,1.21,37.56,27.0,1.21,0.36,0.41,1
Grains,0.17744514169626957,-1.7125189384767403,-1.7445693795150625,-0.7636030586557291,0.30379075855046345,Animal Feed,10.62,0.63,-8.36,-16.81,1.02,0.32,0.37,1
Grains,0.34435635955251725,-1.1911535428493258,1.3839688779254946,-0.35364266865124666,0.7647984320690333,Compost,11.77,1.54,77.73,83.65,1.18,0.3,0.52,1
Vegetables,-1.7073785684177143,0.9891017479562259,0.17016441738844784,-0.8072402990483633,-0.8376465100171517,Animal Feed,0.42,0.2,46.9,49.81,1.49,0.64,1.2,4
Meat,-0.7844161137465139,0.3689321409896298,-0.1982683248728691,0.5340306688094398,-0.6603358663561638,Biogas,5.18,1.94,24.66,13.77,3.45,1.22,0.43,2
Grains,0.6972745701892445,-1.2954266219748087,0.5396438435766433,-1.2022721594448393,0.33038735509960954,Animal Feed,13.44,1.6,60.93,69.39,1.08,0.34,0.45,1
Vegetables,-0.3565293052590992,0.6850326990378595,1.454794490310956,-1.077102180423863,-0.39880266695620414,Animal Feed,7.48,3.12,86.07,98.7,1.6,0.62,0.91,4
Meat,1.6308457887072398,0.36346327320332855,-1.0373599395873265,-0.6177628078698207,0.18853884017082173,Biogas,18.37,6.6,10.65,4.98,3.18,0.76,0.56,2
Vegetables,0.6428162491090279,0.6748241458367632,-0.9773500611129453,-0.010286487667100117,0.9022141809063005,Biogas,13.51,5.28,7.07,-3.54,1.44,0.28,1.39,4
Vegetables,0.9554211571279326,0.9971227540428014,0.880862803739113,1.2448583478368203,0.1508603283928613,Biogas,14.72,6.64,49.4,38.51,1.66,0.43,1.35,4
Fruits,0.9964417106688748,0.005434728793453439,-1.5188345459515475,0.8934637278329778,0.7958277947097064,Compost,15.39,4.6,-16.32,-37.91,1.65,0.27,1.0,0
Meat,0.6088682047992828,-0.033211936896410936,-0.897802082670161,-0.5339333723787081,-0.9263018318476441,Compost,12.2,3.89,13.91,8.31,3.41,0.99,0.4,2
Vegetables,-0.9223300437548542,0.4994557854893601,1.4680524867180866,-1.120739420816497,1.1349344007113473,Animal Feed,4.87,1.77,86.83,99.9,1.02,0.57,1.64,4
Vegetables,1.6619648293245068,0.7681594893896431,-1.463709192469267,-0.07689069668743624,-0.8531611913374867,Biogas,17.62,7.74,-6.29,-19.1,1.62,0.46,1.22,4
Grains,0.3811334075547413,-1.437617184418649,-1.261350299939377,0.029905707431378735,1.239104403862178,Compost,12.24,1.15,-1.41,-14.0,1.19,0.32,0.38,1
Vegetables,-0.2525634195605043,1.3252548212208946,-0.6371777848773544,0.0815813868437084,-0.5561658632053332,Biogas,7.96,4.11,16.02,6.57,1.45,0.41,1.22,4
Mixed,-0.363601814490296,-0.5574940620098527,-0.12709381784511473,0.36292675253305934,-1.5712692981644925,Compost,7.02,1.73,28.19,19.2,1.08,0.35,0.67,3
Grains,-1.6529202473374975,-1.0391190183901426,-0.09115766968894459,-0.3984282574752656,0.6118680019114312,Compost,0.75,0.12,35.85,33.69,1.02,0.27,0.45,1
Vegetables,-1.6437259853369417,0.7579509361885468,0.6938552754701113,-1.2240907796411566,1.0662265262927137,Animal Feed,0.82,0.33,65.54,75.08,1.34,0.54,1.38,4
Fruits,-0.6740849697398417,0.08090510424441485,-0.07406183221659175,0.3468498744936678,-1.021606302815427,Biogas,5.65,1.91,29.85,21.31,1.26,0.41,0.45,0
Grains,1.5183928919312089,-1.5823598851627634,-1.1455172786981298,1.2012211074441859,0.5076979987606006,Compost,18.03,1.39,-8.3,-30.43,1.16,0.35,0.5,1
Vegetables,-0.3303610211036705,0.4983620119320997,0.8309708698912266,0.12751532409911265,0.30379075855046345,Biogas,7.88,2.97,57.7,56.25,1.51,0.54,1.23,4
Mixed,-0.06160567031818683,0.25663805577757137,0.7713098860591381,1.3780667658774925,-0.7423420390493688,Biogas,8.87,3.19,45.1,32.43,1.55,0.37,0.85,3
Fruits,0.043774717226647414,0.39117220332058944,1.4987552152398629,1.3482097066614795,-1.5468890846611065,Biogas,9.03,3.58,66.21,57.96,0.8,0.49,0.79,0
Vegetables,1.2262982606827753,1.294264570431852,-0.15849433565147691,0.7235081599879825,-0.10402372186981103,Biogas,15.97,7.99,24.15,11.85,1.8,0.51,1.23,4
Meat,-0.0071473492379704505,0.48159081738744186,-0.37585569779996203,0.7924090658710886,-0.8021843812849547,Biogas,9.12,3.6,17.32,3.17,3.01,0.82,0.48,2
Mixed,-0.8473614459041666,-0.08097338223011097,0.18272462451099272,-1.4319418457218605,-2.506582943476207,Animal Feed,4.41,1.49,52.7,61.11,1.23,0.4,1.06,3
Meat,0.36698838909234743,0.3036703187397649,1.486543902759611,1.6743406611748495,-0.019801166130842467,Biogas,11.47,4.06,63.02,51.87,3.77,1.13,0.57,2
Grains,-1.3417298411648324,-1.4230335369885116,-1.3799744783189678,0.7866673237141629,1.0773084415215248,Compost,2.51,0.24,-11.41,-31.26,1.01,0.29,0.28,1
Vegetables,-0.7999756340551472,1.0244670929743092,-0.8022049506819027,1.0014084803831778,0.3348201211911365,Biogas,5.35,2.42,3.28,-15.14,1.5,0.64,0.93,4
Vegetables,-1.1691606159236274,1.142959228344176,-0.6064750563555782,0.5317339719466697,0.6650611950097266,Biogas,3.41,1.57,12.98,-0.22,1.48,0.49,1.29,4
Vegetables,0.03811670984168999,0.44695465474086526,-0.2771185140310675,-0.20550572100256795,-0.035315847451177454,Biogas,9.71,3.64,28.84,23.94,1.61,0.5,1.04,4
Vegetables,-0.4661531983426518,1.1192608012702026,1.5685341436984457,-1.360744242975984,-0.08629265750371255,Donation,7.02,3.33,91.8,107.55,1.33,0.64,1.52,4
Vegetables,0.3874986658628185,1.2949937528033593,0.5019632222090087,0.17804265508005743,1.2900812139147129,Biogas,12.3,5.77,47.83,44.06,1.11,0.21,0.91,4
Grains,1.309753869610899,-1.2133936051802856,-1.6915373938865397,-1.1368162988558883,0.7537165168402221,Animal Feed,17.09,2.18,-3.59,-8.49,1.21,0.27,0.3,1
Grains,1.1315266369847365,-1.5546509550455023,1.5950501365127072,1.2081111980324968,0.7825294964351318,Compost,16.13,1.29,70.19,63.72,0.79,0.26,0.39,1
Vegetables,0.7750721717324109,0.7466486094301902,-1.0767850341664258,0.707431281948591,1.3011631291435242,Biogas,14.5,5.71,-2.03,-19.46,1.29,0.42,1.44,4
Vegetables,1.4653490726972318,0.5038308797184015,1.6473843328566442,1.6754890096062347,1.1216361024367727,Biogas,18.25,6.63,67.62,57.37,1.55,0.2,1.1,4
Grains,-1.2787845090071797,-1.3887619655276886,0.24099002977390935,0.22167989547269132,0.7913950286181826,Compost,2.82,0.29,39.97,34.33,1.27,0.33,0.37,1
Grains,-1.423770948246717,-1.3008954897611102,0.7133933754385144,-1.3262937900344307,0.5143471478978879,Animal Feed,2.0,0.23,67.0,77.54,1.03,0.38,0.4,1
Grains,1.6393327997846765,-1.6432466131835874,1.4125782385935133,-0.49718622257438483,1.148232698985922,Compost,19.25,1.27,79.81,87.13,1.1,0.34,0.35,1
Vegetables,0.3620376326305096,0.5435713189655262,0.9897179321345022,-1.350409107093518,0.8623192860825765,Animal Feed,11.92,4.45,75.12,87.45,1.3,0.59,1.27,4
Vegetables,0.9646154191284888,0.8100874757512886,-0.7401017043537641,-0.5258949333590125,1.250186319090989,Biogas,15.54,6.27,18.37,13.61,1.59,0.43,1.22,4
Vegetables,-0.5870931061961192,0.6511257187627897,-1.0970209234194148,1.1529904733260117,0.4456392734792544,Biogas,6.54,2.59,-6.49,-27.91,1.72,0.47,1.32,4
Meat,1.5063696262381738,-0.1484227515944968,-1.1190012858838683,-0.08378078727574673,-1.6931703656814214,Compost,16.12,5.05,3.65,-7.13,4.12,1.16,0.75,2
Grains,-0.22002987709699837,-1.2622488240712462,-0.31479913539870213,-1.6570181382733413,0.7049560898334506,Animal Feed,8.64,1.05,40.4,47.92,0.95,0.24,0.35,1
Grains,1.2093242385279024,-1.49923309481098,0.2566902886770903,-0.30426368610168697,0.2550303315436918,Compost,16.15,1.45,45.0,44.03,0.97,0.25,0.36,1
Vegetables,-0.5750698405030845,1.0904580975956812,-0.5290204457665512,0.3146961184148847,0.45228842261654173,Biogas,6.61,3.03,17.09,6.22,1.71,0.61,1.3,4
Vegetables,-0.6401369254300963,0.44841301948387924,-0.7516152275494302,-1.09892080062018,0.7980441777554699,Animal Feed,6.35,2.29,23.01,23.17,1.74,0.46,1.37,4
Mixed,0.7665851606549743,0.7043560318827917,-1.4762693995918121,0.2182348501785359,-3.067327854054083,Compost,11.6,5.61,-9.22,-24.68,1.36,0.53,0.64,3
Grains,-1.6585782547224552,-1.5856412058345444,1.3853644564946659,-0.1274180276683808,0.5187799139894118,Compost,0.72,0.05,75.81,79.76,1.03,0.26,0.36,1
Vegetables,0.7892171901948045,1.2588992254137688,-0.6368288902350616,0.9244691354803759,-0.8487284252459628,Biogas,13.17,6.76,8.68,-8.12,1.31,0.72,1.0,4
Mixed,1.5502191834715948,-0.22753903890299265,-0.7561508578992381,-0.815278738068059,-2.218453147527101,Animal Feed,15.88,4.91,20.42,18.1,1.18,0.46,0.93,3
Fruits,-1.1564300993074728,-0.5582232443813597,-0.10302008752690377,0.4249375678278549,-2.045575269957637,Compost,3.04,0.77,28.34,18.95,0.92,0.3,0.85,0
Fruits,-0.9230372946779738,0.6770116929512839,-0.9885146896663186,-1.1276295114048078,-2.182991018794901,Animal Feed,4.13,1.88,16.48,15.53,0.98,0.58,0.87,0
Vegetables,0.5445083707953904,0.643104712676214,-0.25304478371285655,-0.9301135812065695,-0.49632352096974736,Animal Feed,12.13,5.01,35.85,37.41,1.38,0.5,1.15,4
Vegetables,-0.23205314279003303,1.1484280961304774,-0.5070400833020978,1.1656223060712478,0.6805758763300648,Biogas,8.56,3.95,10.31,-7.85,1.48,0.52,0.77,4
Meat,1.7192521540972017,0.2599193764493524,-0.32945271037500456,0.15048229272681468,-0.98614417408323,Biogas,17.79,6.48,24.24,15.95,2.79,1.36,0.55,2
Mixed,-1.1429923317681985,-0.18415268779833377,-1.5921024208330594,1.561802514899109,-2.513232092613494,Compost,3.03,0.97,-24.24,-52.07,1.13,0.35,0.29,3
Mixed,-0.7511753203598883,0.5362794952504574,-0.03463673763749266,-0.29163185335645087,-0.8132662965137659,Biogas,5.31,2.14,36.54,33.78,1.32,0.32,0.63,3
Vegetables,1.079190068673879,0.8687866566575918,0.9757621464427855,0.9129856511665247,0.5475928935843214,Biogas,15.67,6.66,55.02,47.56,1.53,0.36,1.26,4
Vegetables,0.6866658063424492,1.2877019290882905,-1.382416740815018,1.2678253164645223,0.48331778525721486,Biogas,13.48,6.55,-15.67,-39.74,1.1,0.54,1.03,4
Grains,-0.38481934218388686,-1.7161648503342748,0.27029717972651396,-0.141198208845002,0.6251663001860058,Compost,7.7,0.44,43.97,41.65,1.08,0.3,0.33,1
Vegetables,-1.6550420001068569,0.9858204272844447,-0.456799254811918,1.0496391145013524,1.1371507837571075,Biogas,0.76,0.33,12.76,-4.1,1.11,0.48,1.15,4
Vegetables,1.3373366556125672,0.4797678614586748,-1.1671487465202903,-1.567446960625303,1.1814784446723554,Animal Feed,17.58,6.31,15.19,17.05,1.89,0.57,1.45,4
Vegetables,1.2390287772989297,1.117802436527189,1.1847500371762405,0.9749964664613203,0.24173203326911716,Biogas,16.31,7.61,60.46,53.66,1.38,0.4,1.24,4
Grains,-0.10404072570536856,-1.0544318481917871,-0.3730645406616188,-0.6797736231646165,1.179262061626595,Animal Feed,9.48,1.4,30.22,28.91,0.87,0.37,0.46,1
Grains,0.26938776170182976,-1.445638190505225,-1.5122055477479819,-0.46732916335837194,0.4966160835317863,Compost,11.22,1.08,-4.28,-13.98,1.19,0.31,0.48,1
Fruits,0.8981338323552372,-0.13347451297860605,1.19068124609522,-0.35364266865124666,0.6229499171402423,Compost,14.73,4.15,72.21,77.02,0.61,0.31,1.08,0
Grains,-1.2059376639258512,-1.7230920828635903,0.13248379602081298,-1.0518385149333906,0.915512479180872,Animal Feed,3.25,0.18,47.95,52.78,1.02,0.31,0.39,1
Grains,-1.0849977560723836,-1.4379817756044024,0.8281797127528828,-0.0849291357071318,1.0906067397960995,Compost,3.95,0.37,59.47,59.86,0.88,0.29,0.36,1
Grains,1.231249017144613,-1.2411025352975467,-1.6845595010406815,0.1424438537071189,0.2395156502233537,Compost,16.26,2.07,-14.52,-30.52,1.06,0.34,0.38,1
Meat,0.43559172863495765,0.3937243416208637,-0.10197340360002499,0.7326949474390632,-0.40323543304772796,Biogas,11.61,4.34,25.69,13.63,3.46,1.11,0.39,2
Fruits,-0.7759291026690776,-0.10284885337531723,0.5672065203177837,1.6766373580376197,0.5919205544995692,Compost,5.55,1.59,36.65,20.2,1.71,0.27,0.86,0
Fruits,0.8648930389686117,-0.3226973383846396,-0.0876687232660154,-0.8060919506169781,0.37471501601485735,Animal Feed,14.38,3.71,39.5,40.93,1.5,0.41,0.71,0
Meat,1.5976049953206144,0.33028547529976543,1.1927746139489777,0.7131730241055162,-0.04639776267998861,Biogas,17.98,6.44,62.98,58.51,2.91,1.3,0.47,2
Grains,0.44973674709735173,-1.2469359942696017,0.16039536740424623,1.3011274209746901,0.4855341683029752,Compost,12.19,1.52,28.26,12.75,1.19,0.28,0.44,1
Grains,-1.5079338080979605,-1.1419337327726118,1.1236934747749807,0.7051345850858208,0.9509746079130721,Compost,1.57,0.21,61.06,56.26,1.12,0.32,0.38,1
Vegetables,0.5933086844906497,1.2403050749403437,-1.0411977806525485,0.5638877280254528,0.04004117610474344,Biogas,12.71,6.22,0.24,-15.73,1.22,0.29,1.5,4
Grains,1.403818242385818,-1.1517776947879546,-1.5512817476847884,0.5983381809670056,1.2435371699537017,Compost,18.01,2.4,-14.68,-33.88,1.05,0.22,0.47,1
Vegetables,-0.09838271832041087,1.0510822495343102,-0.44912357268147396,-1.3538541523876733,1.1172033363452487,Animal Feed,9.48,4.16,33.91,38.03,1.46,0.63,0.92,4
Mixed,0.26938776170182976,-0.4543147564416302,-1.6245496225663003,1.5399838947027924,-1.7131178130932834,Compost,10.06,2.66,-24.97,-52.79,1.02,0.57,1.28,3
Vegetables,-1.663529011184293,0.4994557854893601,-0.29072540508049116,-1.1873436298368332,0.38136416515214466,Animal Feed,0.69,0.26,36.99,40.56,1.8,0.36,1.13,4
Grains,-1.423770948246717,-1.7238212652350968,-0.26944283190062346,1.4159622641132008,0.7803131133893683,Compost,2.02,0.11,14.94,-4.04,0.93,0.28,0.39,1
Meat,1.1074801055986667,0.49544528244607233,0.6474522880451538,1.6915658876456263,0.14421117925557397,Biogas,15.52,5.88,38.82,22.7,3.29,1.28,0.39,2
Grains,0.788509939271685,-1.3967829716142641,-0.46831277800758436,0.8429363968520334,0.6827922593758251,Compost,14.17,1.45,14.23,-0.9,0.95,0.31,0.27,1
Fruits,1.3401656593050457,-0.29024872285258374,-1.5634930601650405,-0.4489555884562102,0.45450480566230206,Compost,17.02,4.45,-5.91,-16.06,0.81,0.29,0.61,0
Meat,-0.5863858552729997,0.27450302387948955,-0.23908899802114006,-1.1632283127777459,-0.5495167140680459,Biogas,6.24,2.24,38.26,41.92,3.54,1.1,0.53,2
Vegetables,-0.2214443789432377,1.080614135580338,1.083919485553589,0.9623646337160843,-0.8753250217951122,Biogas,8.0,3.9,57.68,50.42,1.71,0.43,1.44,4
Grains,-0.1959833457109288,-1.0405773831331564,0.6715260183633648,1.4492643686233688,0.8357226895334272,Compost,8.82,1.34,41.61,27.74,1.09,0.27,0.35,1
Vegetables,-1.4343797120935122,1.2333778424110287,1.3120965816131542,-1.3653376367015244,1.1238524854825362,Donation,2.0,0.93,84.49,98.8,1.34,0.36,0.95,4
Vegetables,-0.996591390682422,0.6905015668241613,-0.9619986968520572,-0.9082949610102524,-0.6536867172188764,Animal Feed,4.09,1.73,15.33,12.63,1.74,0.65,0.98,4
Grains,0.22341645169904956,-1.1973515930071343,1.7063475274041466,1.0863862643056754,1.0440626958350914,Compost,11.25,1.44,74.44,69.66,0.94,0.4,0.41,1
Vegetables,-0.6083106338897101,0.9511842646378682,-0.7620820668182177,-1.1023658459143353,0.6938741746046362,Animal Feed,6.5,2.82,22.75,22.88,1.67,0.65,1.25,4
Vegetables,0.26726600893247066,1.0572802996921182,-0.46412604230006926,0.5765195607706889,-0.18159712847149226,Biogas,10.85,5.07,16.67,3.89,1.39,0.51,1.26,4
Fruits,1.2354925226833313,-0.3813965192909429,0.9893690374922091,-0.9496355045401162,-1.1811858821103165,Animal Feed,15.19,4.09,71.62,80.47,1.02,0.49,0.95,0
Vegetables,0.32526058462828555,1.105406336211572,-1.233089833913651,-0.651064912379989,-0.1971118097918304,Animal Feed,11.15,5.3,5.33,-1.17,1.56,0.44,1.03,4
Grains,-0.4774692131125669,-1.7427800068942754,-1.4047459979217647,0.19526788155083386,0.31043990768775076,Compost,7.09,0.39,-6.97,-21.82,0.95,0.35,0.34,1
Vegetables,-0.9859826268356267,0.5865930788844315,0.9237768447411415,-0.6832186684587718,-0.7556403373239435,Animal Feed,4.12,1.69,67.41,73.56,1.41,0.7,1.11,4
Grains,-0.6740849697398417,-1.6993936557896165,0.5487151042762592,0.03564744958830414,1.2457535529994652,Compost,6.29,0.37,50.41,48.15,0.92,0.37,0.41,1
Vegetables,0.5077313227931667,0.5712802490827871,-1.2285542035638433,-0.544268508261174,0.013444579555594149,Biogas,12.24,4.8,4.52,-2.88,1.75,0.56,1.42,4
Vegetables,0.7736576698861714,1.2979104822893868,1.240573179943107,0.16541082233482093,-0.3190128773087594,Biogas,13.43,6.8,69.11,69.69,1.74,0.49,1.03,4
Vegetables,1.6570140728626688,1.1852518058915746,1.163467463996373,0.5351790172408252,-0.6115754393493922,Biogas,17.8,8.84,63.67,60.58,1.48,0.58,1.07,4
Vegetables,1.5990194971668539,0.5643530165534719,-1.1528440661862809,1.2620835743075967,0.7492837507486951,Biogas,18.68,7.06,-9.04,-31.73,1.06,0.39,1.3,4
Grains,0.5487518763341087,-1.3902203302707024,-0.11558029464944865,-1.001311183952446,1.0108169501486548,Animal Feed,13.05,1.33,40.4,43.36,0.82,0.29,0.45,1
Mixed,1.0409985188254156,-0.5728068918114971,-0.9208291290614934,0.6488655119479504,0.86453566912834,Compost,15.69,3.4,2.94,-13.09,1.09,0.31,0.9,3
Meat,-0.8912110031375876,-0.0652959612427132,0.9698309375238059,-0.010286487667100117,-1.3318999292221583,Compost,4.48,1.43,62.88,63.44,2.41,1.07,0.53,2
Vegetables,-0.22215162986635728,0.7838369103770406,-0.40795400489091016,0.13785045998157858,1.2235897225418397,Biogas,8.83,3.53,22.1,13.46,1.36,0.43,1.33,4
Grains,-0.09696821647417152,-1.1670905245895993,1.588421138309142,-0.8187237833622142,1.0551446110639027,Animal Feed,9.47,1.25,87.65,98.78,1.12,0.3,0.44,1
Vegetables,1.361383186998637,1.1338444487003403,-1.2439055678247315,4.8648215365815194e-05,1.1504490820316824,Biogas,17.69,7.96,-0.65,-12.88,1.64,0.52,1.08,4
Vegetables,-1.2752482543915813,0.4407566045830568,1.5371336258920838,-0.6338396859092124,0.4921833174402625,Animal Feed,2.8,1.02,84.57,93.8,1.34,0.47,1.01,4
Vegetables,1.1909357145267905,1.0200919987452677,-1.0261953110339532,1.6708956158806945,0.6694939611012505,Biogas,16.37,7.27,-8.97,-34.5,1.4,0.55,1.23,4
Fruits,0.321724330012687,0.4228916364811386,0.08154517824604779,-1.6914685912148943,-0.5317856497019443,Animal Feed,10.95,4.17,52.06,62.15,1.21,0.46,1.07,0
Meat,0.8182144780427122,-0.1487873427802502,-1.3482250658703128,0.3422564807681275,0.10874905052337386,Compost,13.95,3.99,-6.62,-22.43,2.69,0.95,0.35,2
Vegetables,-0.49515048619055924,1.1834288499628076,-1.5551195887500104,-1.5617052184683775,-0.8819741709323995,Animal Feed,6.6,3.32,4.02,3.61,1.57,0.64,1.21,4
Fruits,1.1958864709886283,-0.09628621203175537,1.5660918812023954,1.6536703894099176,-0.6559031002646368,Compost,15.39,4.69,65.48,54.96,1.26,0.45,0.8,0
Fruits,1.4328155302337258,-0.3073845085829952,-0.9797923236089957,-0.37890633414171887,0.1951879893081059,Compost,17.31,4.54,10.21,2.79,0.95,0.41,1.13,0
Grains,-0.42301089203235054,-1.484284856195089,-0.1686122802779714,0.9439910588139225,0.352551185557235,Compost,7.4,0.68,21.94,7.65,1.09,0.37,0.32,1
Grains,-1.1861346380784998,-1.0456816597337046,-1.0778317180933046,-0.18598379766902118,0.47223587002840056,Compost,3.29,0.5,5.72,-3.93,0.93,0.32,0.37,1
Vegetables,0.2177584443140921,1.0346756461754054,-0.9619986968520572,0.5420691078291356,-0.7667222525527546,Biogas,10.29,4.92,2.7,-12.64,1.12,0.48,1.25,4
Grains,0.011241174763141444,-1.6643929019572867,0.23470992621263692,-1.3618925914073692,1.0972558889333868,Animal Feed,10.09,0.64,53.58,61.68,0.9,0.32,0.46,1
Vegetables,-0.8784804865214331,0.9015998633754009,1.4104848707397561,0.24924025782593368,0.9642729061876467,Biogas,5.08,2.14,73.25,74.07,1.4,0.31,0.84,4
